region,year,period,sensor,ndvi,evi,n_pixels,n_parts
Пензенская область,2012,27,viirs,0.5993538676780981,0.34759448552661903,121124,1
Пензенская область,2012,28,viirs,0.5698143616504786,0.3225703563869546,116385,1
Пензенская область,2012,29,viirs,0.5511846184120791,0.29546236542901655,72088,1
Пензенская область,2012,30,viirs,0.560930599041782,0.29771924372032144,17543,1
Пензенская область,2012,31,viirs,0.5859176690183051,0.30671691101256077,10054,1
Пензенская область,2012,32,viirs,0.5760353246701747,0.2981230462133489,129973,1
Пензенская область,2012,33,viirs,0.5988460820015754,0.2998863786790647,130276,1
Пензенская область,2012,34,viirs,0.5918265630891116,0.2774488803037813,115582,1
Пензенская область,2012,35,viirs,0.5677830701690221,0.25915891621528836,101196,1
Пензенская область,2013,13,viirs,0.32666119148241146,0.12277790577931488,130062,1
Пензенская область,2013,14,viirs,0.3232936933300798,0.1239549719346752,118885,1
Пензенская область,2013,15,viirs,0.5039252422432903,0.24147391524781356,130219,1
Пензенская область,2013,16,viirs,0.5448000535747072,0.27010563729497455,130327,1
Пензенская область,2013,17,viirs,0.660181627286307,0.35993834088381244,130329,1
Пензенская область,2013,18,viirs,0.6893002619945181,0.393027136289438,130322,1
Пензенская область,2013,19,viirs,0.7237636047577416,0.4394836964002632,115899,1
Пензенская область,2013,20,viirs,0.7595839646795912,0.47231697926880317,130329,1
Пензенская область,2013,21,viirs,0.7579403616825959,0.47313918522933085,130311,1
Пензенская область,2013,22,viirs,0.7496152936146016,0.47293769143975634,124838,1
Пензенская область,2013,23,viirs,0.7356035793232193,0.4659497260289292,127212,1
Пензенская область,2013,24,viirs,0.6893679448105197,0.4390176541842951,85912,1
Пензенская область,2013,25,viirs,0.6174248949768901,0.3967050209377436,40153,1
Пензенская область,2013,26,viirs,0.6142127928224526,0.3922940662251134,34765,1
Пензенская область,2013,27,viirs,0.6147580412289837,0.33960846286970386,85789,1
Пензенская область,2013,28,viirs,0.6183262819284628,0.34067074580047785,88383,1
Пензенская область,2013,29,viirs,0.6250876689203826,0.3353806127747679,118388,1
Пензенская область,2013,30,viirs,0.627831281453105,0.3363030293532706,120408,1
Пензенская область,2013,31,viirs,0.6002772377617316,0.3075729378692284,41719,1
Пензенская область,2013,32,viirs,0.6346010791495993,0.3091278080001278,30541,1
Пензенская область,2013,33,viirs,0.6345388748659087,0.3094424618465954,30401,1
Пензенская область,2013,34,viirs,0.4737914215716972,0.2744299843281126,3892,1
Пензенская область,2013,35,viirs,0.5155150096561985,0.23700281545158272,128807,1
Пензенская область,2014,13,viirs,0.30939061268685936,0.13181333948083093,121780,1
Пензенская область,2014,14,viirs,0.3333964948959971,0.13950643264412707,128607,1
Пензенская область,2014,15,viirs,0.4003677811827012,0.19386826294368412,125188,1
Пензенская область,2014,16,viirs,0.4470026031291567,0.22993381913297622,126166,1
Пензенская область,2014,17,viirs,0.6449069288978859,0.3679323162284056,130224,1
Пензенская область,2014,18,viirs,0.6966256603549754,0.428830012715236,130324,1
Пензенская область,2014,19,viirs,0.7001729994833836,0.429573707718338,130323,1
Пензенская область,2014,20,viirs,0.6993021590280455,0.4167103362483724,112740,1
Пензенская область,2014,21,viirs,0.7247871097358359,0.42581143601497395,30400,1
Пензенская область,2014,22,viirs,0.710659555933919,0.4567476766807663,130133,1
Пензенская область,2014,23,viirs,0.725782496176719,0.4617823148517788,130220,1
Пензенская область,2014,24,viirs,0.719376334815155,0.4441064512518037,130251,1
Пензенская область,2014,25,viirs,0.6977300042842929,0.43228400661171174,130284,1
Пензенская область,2014,26,viirs,0.6346222747819995,0.3807756853193285,99999,1
Пензенская область,2014,27,viirs,0.5391950189009814,0.310191669145672,95407,1
Пензенская область,2014,28,viirs,0.5171400507194024,0.2826771533377731,104832,1
Пензенская область,2014,29,viirs,0.4981944161536365,0.2655395311613625,92985,1
Пензенская область,2014,30,viirs,0.492688690084056,0.24123748568691247,54649,1
Пензенская область,2014,31,viirs,0.5356355719931934,0.24456977342397468,128989,1
Пензенская область,2014,32,viirs,0.5394916194859207,0.2473925747493976,130106,1
Пензенская область,2014,33,viirs,0.4985865171703635,0.2321189148322578,121279,1
Пензенская область,2014,34,viirs,0.4752623510543509,0.21901533458259725,86388,1
Пензенская область,2014,35,viirs,0.4622345239540529,0.19934476850982505,58014,1
Пензенская область,2015,13,viirs,0.24509986907138498,0.08881950494782752,104540,1
Пензенская область,2015,14,viirs,0.2946697568464001,0.12527656290989725,14047,1
Пензенская область,2015,15,viirs,0.41693448671706046,0.1833071036374527,129963,1
Пензенская область,2015,16,viirs,0.44196684497383776,0.1924770841024829,130101,1
Пензенская область,2015,17,viirs,0.5481908981276642,0.28777444379417627,117664,1
Пензенская область,2015,18,viirs,0.5916328765034357,0.31603013323590484,127009,1
Пензенская область,2015,19,viirs,0.6501062790940626,0.35836696737713797,118144,1
Пензенская область,2015,20,viirs,0.6887591920128601,0.4087917740134055,128595,1
Пензенская область,2015,21,viirs,0.6815481000083538,0.41098868959281154,128389,1
Пензенская область,2015,22,viirs,0.6924236630124849,0.39724356532645716,91591,1
Пензенская область,2015,23,viirs,0.7066056134055743,0.4392453293686189,120858,1
Пензенская область,2015,24,viirs,0.6889972808028881,0.4411495611611383,100950,1
Пензенская область,2015,25,viirs,0.6642554524139798,0.4167649412305776,130277,1
Пензенская область,2015,26,viirs,0.6816270527540857,0.4192253014793288,130326,1
Пензенская область,2015,27,viirs,0.6664049187511953,0.39141292564745195,130148,1
Пензенская область,2015,28,viirs,0.6022038042131254,0.35144597301457836,123246,1
